gridSize,blue,red,flag,instructionCount,bblCount
10,1,1,A,199357,19898
10,1,2,A,484508,50955
10,1,3,A,928134,99628
10,1,4,A,1328754,144179
10,1,5,A,1521341,165211
10,1,6,A,2076853,226599
10,1,7,A,2823654,309328
10,1,8,A,2914940,318499
10,1,9,A,3346242,367095
10,1,10,A,3368281,369373
10,2,1,A,458285,48173
10,2,2,A,755351,80419
10,2,3,A,1208454,130036
10,2,4,A,1577848,171198
10,2,5,A,1715432,186153
10,2,6,A,2268374,247149
10,2,7,A,3041023,332588
10,2,8,A,3104122,338756
10,2,9,A,3526529,386220
10,2,10,A,3547371,388373
10,3,1,A,836440,90447
10,3,2,A,1046864,113152
10,3,3,A,1434665,155561
10,3,4,A,1866655,203162
10,3,5,A,2167791,236002
10,3,6,A,2713720,296120
10,3,7,A,3298000,360396
10,3,8,A,3543290,386877
10,3,9,A,3924910,429803
10,3,10,A,3846734,420945
10,4,1,A,1303613,142470
10,4,2,A,1512156,164932
10,4,3,A,1897479,206978
10,4,4,A,2315081,252851
10,4,5,A,2608151,284678
10,4,6,A,3143284,343330
10,4,7,A,3730900,407849
10,4,8,A,3953277,431646
10,4,9,A,4313993,471785
10,4,10,A,4133031,451661
10,5,1,A,1684921,184462
10,5,2,A,1891232,206576
10,5,3,A,2274837,248422
10,5,4,A,2684903,293335
10,5,5,A,2978190,325307
10,5,6,A,3491997,381536
10,5,7,A,4058316,443523
10,5,8,A,4250727,463782
10,5,9,A,4680501,511480
10,5,10,A,4365872,476250
10,6,1,A,2273047,250400
10,6,2,A,2477635,272182
10,6,3,A,2789205,305967
10,6,4,A,3179391,348492
10,6,5,A,3528585,386329
10,6,6,A,4028617,440652
10,6,7,A,4455235,486984
10,6,8,A,4798940,524035
10,6,9,A,5198971,567978
10,6,10,A,4873420,531402
10,7,1,A,2418754,266713
10,7,2,A,2614145,287413
10,7,3,A,2872914,315431
10,7,4,A,3207599,351592
10,7,5,A,3509414,384117
10,7,6,A,3945547,431197
10,7,7,A,4257534,465087
10,7,8,A,4601865,502083
10,7,9,A,5244281,572492
10,7,10,A,5037585,548761
10,8,1,A,2749431,302778
10,8,2,A,2950259,324019
10,8,3,A,3215554,352635
10,8,4,A,3542544,387683
10,8,5,A,3856306,421421
10,8,6,A,4297579,469010
10,8,7,A,4628892,504681
10,8,8,A,4923319,535868
10,8,9,A,5358417,583691
10,8,10,A,5259778,571914
10,9,1,A,3026683,333560
10,9,2,A,3216295,353510
10,9,3,A,3438952,377306
10,9,4,A,3734911,408931
10,9,5,A,4017546,439069
10,9,6,A,4361867,476011
10,9,7,A,4617244,503307
10,9,8,A,4924363,535811
10,9,9,A,5420296,589934
10,9,10,A,5706324,619803
10,10,1,A,3156411,347587
10,10,2,A,3321043,364806
10,10,3,A,3512011,385133
10,10,4,A,3765043,411916
10,10,5,A,3997209,436247
10,10,6,A,4224123,460162
10,10,7,A,4481252,487822
10,10,8,A,4900666,532772
10,10,9,A,5223607,567324
10,10,10,A,5422612,587986
11,1,1,A,242873,24504
11,1,2,A,615547,64977
11,1,3,A,920987,98211
11,1,4,A,1329674,143466
11,1,5,A,1977147,215845
11,1,6,A,2248418,244968
11,1,7,A,3506296,386346
11,1,8,A,3708645,408163
11,1,9,A,3938469,434630
11,1,10,A,4302029,474088
11,2,1,A,640340,68033
11,2,2,A,1008583,108024
11,2,3,A,1309925,140842
11,2,4,A,1678628,181690
11,2,5,A,2306239,251911
