size,shuffles,instructionCount,bblCount
2,1,3753,246
2,2,4608,305
2,3,6095,395
2,4,6950,454
2,5,8437,544
2,6,9292,603
2,7,8516,549
2,8,8145,520
2,9,7136,460
2,10,6765,431
2,11,5756,371
2,12,5130,332
2,13,6639,426
2,14,7494,485
2,15,8981,575
2,16,9836,634
2,17,11323,724
2,18,12178,783
2,19,11402,729
2,20,11031,700
2,21,10022,640
2,22,9651,611
2,23,8642,551
2,24,8016,512
2,25,9525,606
3,1,6854,421
3,2,8524,523
3,3,9410,585
3,4,11577,695
3,5,12452,755
3,6,18879,1098
3,7,21797,1242
3,8,22652,1301
3,9,25570,1445
3,10,27196,1539
3,11,21809,1240
3,12,22664,1299
3,13,25582,1443
3,14,26477,1504
3,15,32884,1846
3,16,34975,1949
3,17,128299,7121
3,18,153069,8503
3,19,191067,10644
3,20,397275,22209
3,21,509854,28507
3,22,510709,28566
3,23,1509995,84554
3,24,1510890,84615
3,25,564751,31711
4,1,11076,670
4,2,13288,798
4,3,15456,918
4,4,19868,1116
4,5,20756,1181
4,6,25124,1371
4,7,26041,1436
4,8,30409,1626
4,9,31306,1690
4,10,33243,1785
4,11,37611,1975
4,12,39735,2087
4,13,46831,2449
4,14,49916,2585
4,15,63511,3209
4,16,68642,3459
4,17,69517,3519
4,18,90470,4474
4,19,91365,4535
4,20,332053,15834
4,21,887532,41954
4,22,907162,42853
4,23,908017,42912
4,24,1458352,68662
4,25,1769038,83206
5,1,15870,937
5,2,18782,1099
5,3,21639,1251
5,4,27964,1517
5,5,30757,1660
5,6,38866,1982
5,7,45292,2252
5,8,51707,2520
5,9,52668,2593
5,10,58936,2846
5,11,78290,3675
5,12,84538,3927
5,13,87298,4064
5,14,88197,4131
5,15,94412,4377
5,16,98944,4571
5,17,99861,4636
5,18,102450,4751
5,19,265141,11553
5,20,278309,12115
5,21,279206,12179
5,22,284234,12410
5,23,299094,13023
5,24,314144,13653
5,25,168277,7552
6,1,21716,1262
6,2,25486,1466
6,3,29190,1658
6,4,37858,2008
6,5,41487,2189
6,6,52676,2615
6,7,61434,2967
6,8,70181,3317
6,9,71230,3406
6,10,79830,3741
6,11,106268,4832
6,12,114848,5166
6,13,118444,5341
6,14,122007,5510
6,15,122917,5579
6,16,131387,5893
6,17,132326,5962
6,18,135685,6103
6,19,146742,6505
6,20,155379,6835
6,21,164016,7165
6,22,164955,7234
6,23,173445,7549
6,24,176951,7705
6,25,404203,16700
7,1,28614,1645
7,2,33400,1899
7,3,38109,2139
7,4,49550,2589
7,5,54173,2816
7,6,69008,3366
7,7,80528,3816
7,8,92037,4264
7,9,93196,4373
7,10,104558,4806
7,11,139392,6211
7,12,150734,6643
7,13,155324,6864
7,14,159870,7077
7,15,164339,7276
7,16,179020,7798
7,17,179950,7868
7,18,187612,8148
7,19,188542,8218
7,20,203146,8726
7,21,214446,9136
7,22,215396,9207
7,23,226549,9602
7,24,230950,9786
7,25,217088,9356
8,1,36564,2086
8,2,42524,2398
8,3,48396,2694
8,4,63040,3260
