mapFile,iterations,instructionCount,bblCount
glider-10-10.json,1,58487,3652
glider-10-10.json,2,113185,7122
glider-10-10.json,3,167883,10592
glider-10-10.json,4,222581,14062
glider-10-10.json,5,277279,17532
glider-10-10.json,6,331977,21002
glider-10-10.json,7,386675,24472
glider-10-10.json,8,441373,27942
glider-10-10.json,9,496071,31412
glider-10-10.json,10,550769,34882
glider-10-10.json,11,605467,38352
glider-10-10.json,12,660165,41822
glider-10-10.json,13,714863,45292
glider-10-10.json,14,769561,48762
glider-10-10.json,15,824259,52232
glider-10-10.json,16,878957,55702
glider-10-10.json,17,933655,59172
glider-10-10.json,18,988353,62642
glider-10-10.json,19,1043051,66112
glider-10-10.json,20,1097749,69582
glider-10-10.json,21,1152447,73052
glider-10-10.json,22,1207145,76522
glider-10-10.json,23,1261843,79992
glider-10-10.json,24,1316541,83462
glider-10-10.json,25,1371239,86932
glider-10-10.json,26,1425937,90402
glider-10-10.json,27,1480635,93872
glider-10-10.json,28,1535333,97342
glider-10-10.json,29,1590031,100812
glider-10-10.json,30,1644729,104282
glider-10-10.json,31,1699427,107752
glider-10-10.json,32,1754125,111222
glider-10-10.json,33,1808823,114692
glider-10-10.json,34,1863521,118162
glider-10-10.json,35,1918219,121632
glider-10-10.json,36,1972917,125102
glider-10-10.json,37,2027615,128572
glider-10-10.json,38,2082313,132042
glider-10-10.json,39,2137011,135512
glider-10-10.json,40,2191709,138982
glider-10-10.json,41,2246407,142452
glider-10-10.json,42,2301105,145922
glider-10-10.json,43,2355803,149392
glider-10-10.json,44,2410501,152862
glider-10-10.json,45,2465199,156332
glider-10-10.json,46,2519897,159802
glider-10-10.json,47,2574595,163272
glider-10-10.json,48,2629293,166742
glider-10-10.json,49,2683991,170212
glider-10-10.json,50,2738689,173682
