gridSize,blue,red,flag,instructionCount
10,1,1,A,199344
10,1,2,A,484508
10,1,3,A,928134
10,1,4,A,1328754
10,1,5,A,1521341
10,1,6,A,2076853
10,1,7,A,2823654
10,1,8,A,2914940
10,1,9,A,3346242
10,1,10,A,3368281
10,2,1,A,458285
10,2,2,A,755351
10,2,3,A,1208454
10,2,4,A,1577848
10,2,5,A,1715432
10,2,6,A,2268374
10,2,7,A,3041023
10,2,8,A,3104122
10,2,9,A,3526529
10,2,10,A,3547371
10,3,1,A,836440
10,3,2,A,1046864
10,3,3,A,1434665
10,3,4,A,1866655
10,3,5,A,2167791
10,3,6,A,2713720
10,3,7,A,3298000
10,3,8,A,3543290
10,3,9,A,3924910
10,3,10,A,3846734
10,4,1,A,1303613
10,4,2,A,1512156
10,4,3,A,1897479
10,4,4,A,2315081
10,4,5,A,2608151
10,4,6,A,3143284
10,4,7,A,3730900
10,4,8,A,3953277
10,4,9,A,4313993
10,4,10,A,4133031
10,5,1,A,1684921
10,5,2,A,1891232
10,5,3,A,2274837
10,5,4,A,2684903
10,5,5,A,2978190
10,5,6,A,3491997
10,5,7,A,4058316
10,5,8,A,4250727
10,5,9,A,4680501
10,5,10,A,4365872
10,6,1,A,2273047
10,6,2,A,2477635
10,6,3,A,2789205
10,6,4,A,3179391
10,6,5,A,3528585
10,6,6,A,4028617
10,6,7,A,4455235
10,6,8,A,4798940
10,6,9,A,5198971
10,6,10,A,4873420
10,7,1,A,2418754
10,7,2,A,2614145
10,7,3,A,2872914
10,7,4,A,3207599
10,7,5,A,3509414
10,7,6,A,3945547
10,7,7,A,4257534
10,7,8,A,4601865
10,7,9,A,5244281
10,7,10,A,5037585
10,8,1,A,2749431
10,8,2,A,2950259
10,8,3,A,3215554
10,8,4,A,3542544
10,8,5,A,3856306
10,8,6,A,4297579
10,8,7,A,4628892
10,8,8,A,4923319
10,8,9,A,5358417
10,8,10,A,5259778
10,9,1,A,3026683
10,9,2,A,3216295
10,9,3,A,3438952
10,9,4,A,3734911
10,9,5,A,4017546
10,9,6,A,4361867
10,9,7,A,4617244
10,9,8,A,4924363
10,9,9,A,5420296
10,9,10,A,5706324
10,10,1,A,3156411
10,10,2,A,3321043
10,10,3,A,3512011
10,10,4,A,3765043
10,10,5,A,3997209
10,10,6,A,4224123
10,10,7,A,4481252
10,10,8,A,4900666
10,10,9,A,5223607
10,10,10,A,5422612
11,1,1,A,242873
11,1,2,A,615547
11,1,3,A,920987
11,1,4,A,1329674
11,1,5,A,1977147
11,1,6,A,2248418
11,1,7,A,3506296
11,1,8,A,3708645
11,1,9,A,3938469
11,1,10,A,4302029
11,1,11,A,4975380
11,2,1,A,640340
11,2,2,A,1008583
11,2,3,A,1309925
11,2,4,A,1678628
11,2,5,A,2306239
11,2,6,A,2560921
11,2,7,A,3831111
11,2,8,A,4016367
11,2,9,A,4203977
11,2,10,A,4569989
11,2,11,A,5238185
11,3,1,A,815483
11,3,2,A,1089921
11,3,3,A,1401063
11,3,4,A,1818320
11,3,5,A,2450505
11,3,6,A,2815988
11,3,7,A,3918145
11,3,8,A,4266109
11,3,9,A,4399090
11,3,10,A,4764135
11,3,11,A,5434929
11,4,1,A,1474471
11,4,2,A,1758602
11,4,3,A,2104529
11,4,4,A,2540931
11,4,5,A,3227871
11,4,6,A,3328796
11,4,7,A,4745209
11,4,8,A,4771127
11,4,9,A,4798830
11,4,10,A,5165309
11,4,11,A,5834402
11,5,1,A,1930951
11,5,2,A,2215932
11,5,3,A,2562056
11,5,4,A,2995330
11,5,5,A,3673374
11,5,6,A,3860913
11,5,7,A,5182993
11,5,8,A,5283796
11,5,9,A,5247625
11,5,10,A,5615593
11,5,11,A,6273810
11,6,1,A,2350001
11,6,2,A,2610332
11,6,3,A,2880837
11,6,4,A,3274113
11,6,5,A,3850177
11,6,6,A,4353550
11,6,7,A,5127535
11,6,8,A,5772362
11,6,9,A,5647584
11,6,10,A,6012750
11,6,11,A,6654480
11,7,1,A,2550619
11,7,2,A,2768768
11,7,3,A,2976451
11,7,4,A,3316130
11,7,5,A,3754180
11,7,6,A,4230450
11,7,7,A,4811919
11,7,8,A,5479224
11,7,9,A,6065090
11,7,10,A,6438955
11,7,11,A,7072486
11,8,1,A,3012575
11,8,2,A,3230155
11,8,3,A,3434818
11,8,4,A,3770236
11,8,5,A,4210166
11,8,6,A,4685743
11,8,7,A,5258222
11,8,8,A,5922788
11,8,9,A,6454903
11,8,10,A,6835300
11,8,11,A,7470410
11,9,1,A,3641696
11,9,2,A,3859302
11,9,3,A,4059880
11,9,4,A,4389389
11,9,5,A,4822245
11,9,6,A,5288836
11,9,7,A,5853113
11,9,8,A,6479642
11,9,9,A,6997496
11,9,10,A,7397418
11,9,11,A,7971756
11,10,1,A,3850489
11,10,2,A,4061714
11,10,3,A,4212720
11,10,4,A,4517126
11,10,5,A,4903566
11,10,6,A,5331459
11,10,7,A,5821811
11,10,8,A,6319657
11,10,9,A,6921814
11,10,10,A,7228343
11,10,11,A,7868277
11,11,1,A,4371598
11,11,2,A,4582781
11,11,3,A,4726054
11,11,4,A,5027596
11,11,5,A,5403120
11,11,6,A,5840053
11,11,7,A,6298843
11,11,8,A,6659483
11,11,9,A,7340982
11,11,10,A,7487010
11,11,11,A,7988592
12,1,1,A,267163
12,1,2,A,598718
12,1,3,A,1401495
12,1,4,A,2105652
12,1,5,A,2673572
12,1,6,A,3354757
12,1,7,A,4560635
12,1,8,A,5092429
12,1,9,A,6284700
12,1,10,A,7003208
12,1,11,A,7401584
12,1,12,A,7983094
12,2,1,A,754684
12,2,2,A,1074679
12,2,3,A,1882942
12,2,4,A,2561793
12,2,5,A,3062635
12,2,6,A,3728928
12,2,7,A,4946448
12,2,8,A,5449759
12,2,9,A,6651787
12,2,10,A,7368749
12,2,11,A,7754710
12,2,12,A,8308184
12,3,1,A,1348989
12,3,2,A,1694962
12,3,3,A,2284574
12,3,4,A,3051397
12,3,5,A,3737650
12,3,6,A,4370848
12,3,7,A,5614237
12,3,8,A,6041535
12,3,9,A,7279623
12,3,10,A,7994816
12,3,11,A,8328689
12,3,12,A,8854045
12,4,1,A,2294883
12,4,2,A,2652208
12,4,3,A,3325263
12,4,4,A,4146482
12,4,5,A,4541586
12,4,6,A,5111609
12,4,7,A,6397404
12,4,8,A,6700880
12,4,9,A,7967382
12,4,10,A,8640822
12,4,11,A,8912308
12,4,12,A,9240716
12,5,1,A,3079235
12,5,2,A,3419090
12,5,3,A,3965888
12,5,4,A,4705029
12,5,5,A,5478356
12,5,6,A,5910493
12,5,7,A,7314200
12,5,8,A,7392326
12,5,9,A,8760865
12,5,10,A,9370779
12,5,11,A,9639904
12,5,12,A,9966500
12,6,1,A,4355381
12,6,2,A,4705625
12,6,3,A,5329600
12,6,4,A,6093946
12,6,5,A,6405650
12,6,6,A,6860721
12,6,7,A,8223846
12,6,8,A,8245610
12,6,9,A,9592969
12,6,10,A,10220775
12,6,11,A,10383611
12,6,12,A,10693416
12,7,1,A,4748235
12,7,2,A,5050691
12,7,3,A,5541780
12,7,4,A,6195637
12,7,5,A,6779730
12,7,6,A,7324544
12,7,7,A,8416714
12,7,8,A,8943810
12,7,9,A,9860574
12,7,10,A,10822008
12,7,11,A,11177820
12,7,12,A,11594352
12,8,1,A,5362888
12,8,2,A,5668273
12,8,3,A,6155079
12,8,4,A,6796505
12,8,5,A,7411454
12,8,6,A,8066978
12,8,7,A,9121798
12,8,8,A,9480090
12,8,9,A,10648947
12,8,10,A,11359093
12,8,11,A,11709791
12,8,12,A,12081259
12,9,1,A,6421668
12,9,2,A,6719745
12,9,3,A,7202014
12,9,4,A,7825275
12,9,5,A,8396791
12,9,6,A,8971836
12,9,7,A,9977783
12,9,8,A,10365997
12,9,9,A,11446892
12,9,10,A,11815861
12,9,11,A,12012175
12,9,12,A,13065043
12,10,1,A,7599299
12,10,2,A,7893469
12,10,3,A,8196128
12,10,4,A,8696317
12,10,5,A,9299864
12,10,6,A,10097951
12,10,7,A,10899580
12,10,8,A,11742874
12,10,9,A,11692568
12,10,10,A,12581624
12,10,11,A,13792714
12,10,12,A,14689483
12,11,1,A,7057187
12,11,2,A,7298538
12,11,3,A,7652669
12,11,4,A,8231499
12,11,5,A,8537720
12,11,6,A,9036587
12,11,7,A,9633777
12,11,8,A,10246761
12,11,9,A,10379010
12,11,10,A,10824738
12,11,11,A,11446642
12,11,12,A,12244360
12,12,1,A,8653351
12,12,2,A,8919393
12,12,3,A,9365371
12,12,4,A,9941730
12,12,5,A,10240491
12,12,6,A,10400436
12,12,7,A,12031262
12,12,8,A,11983071
12,12,9,A,12846009
12,12,10,A,12210490
12,12,11,A,13191952
12,12,12,A,13587974
13,1,1,A,332339
13,1,2,A,635677
13,1,3,A,1487385
13,1,4,A,2029500
13,1,5,A,3208670
13,1,6,A,4512710
13,1,7,A,6108301
13,1,8,A,7064433
13,1,9,A,7941282
13,1,10,A,8604909
13,1,11,A,8756778
13,1,12,A,10571769
13,1,13,A,11778831
13,2,1,A,870164
13,2,2,A,1162723
13,2,3,A,2019564
13,2,4,A,2480568
13,2,5,A,3647445
13,2,6,A,4949195
13,2,7,A,6542066
13,2,8,A,7496215
13,2,9,A,8345683
13,2,10,A,9002718
13,2,11,A,9117716
13,2,12,A,10964179
13,2,13,A,12147428
13,3,1,A,1644406
13,3,2,A,1961553
13,3,3,A,2585976
13,3,4,A,3371738
13,3,5,A,4469148
13,3,6,A,5756937
13,3,7,A,7343786
13,3,8,A,8299838
13,3,9,A,9028167
13,3,10,A,9686178
13,3,11,A,9720381
13,3,12,A,11630789
13,3,13,A,12761043
13,4,1,A,2401422
13,4,2,A,2718291
13,4,3,A,3342187
13,4,4,A,4115688
13,4,5,A,5280250
13,4,6,A,6563081
13,4,7,A,8116636
13,4,8,A,9066850
13,4,9,A,9753827
13,4,10,A,10426330
13,4,11,A,10331375
13,4,12,A,12351049
13,4,13,A,13430114
13,5,1,A,3394177
13,5,2,A,3689970
13,5,3,A,4260140
13,5,4,A,5021630
13,5,5,A,6078868
13,5,6,A,7431065
13,5,7,A,8936582
13,5,8,A,9875349
13,5,9,A,10857994
13,5,10,A,11509516
13,5,11,A,11331398
13,5,12,A,13409167
13,5,13,A,14366745
13,6,1,A,5387847
13,6,2,A,5709515
13,6,3,A,6369283
13,6,4,A,7080801
13,6,5,A,7955362
13,6,6,A,9204149
13,6,7,A,10699809
13,6,8,A,11626552
13,6,9,A,11914027
13,6,10,A,12564070
13,6,11,A,12157917
13,6,12,A,14372554
13,6,13,A,15019110
13,7,1,A,5548355
13,7,2,A,5820496
13,7,3,A,6362730
13,7,4,A,7061133
13,7,5,A,7990196
13,7,6,A,9300219
13,7,7,A,10671503
13,7,8,A,11563302
13,7,9,A,12865371
13,7,10,A,13511221
13,7,11,A,13203084
13,7,12,A,15342122
13,7,13,A,16253948
13,8,1,A,6045919
13,8,2,A,6293746
13,8,3,A,6823626
13,8,4,A,7448268
13,8,5,A,8335439
13,8,6,A,9547216
13,8,7,A,10811162
13,8,8,A,11648044
13,8,9,A,12891994
13,8,10,A,13700674
13,8,11,A,14106631
13,8,12,A,15533805
13,8,13,A,16684768
13,9,1,A,7659129
13,9,2,A,7927173
13,9,3,A,8463075
13,9,4,A,9152834
13,9,5,A,10072052
13,9,6,A,11363656
13,9,7,A,12679938
13,9,8,A,13533697
13,9,9,A,14823810
13,9,10,A,15408444
13,9,11,A,15041552
13,9,12,A,17064509
13,9,13,A,18022344
13,10,1,A,8882005
13,10,2,A,9145992
13,10,3,A,9672478
13,10,4,A,10347977
13,10,5,A,11259358
13,10,6,A,12458103
13,10,7,A,13740622
13,10,8,A,14580769
13,10,9,A,15860658
13,10,10,A,16467135
13,10,11,A,16041349
13,10,12,A,18088637
13,10,13,A,18635014
13,11,1,A,10084793
13,11,2,A,10348167
13,11,3,A,10865905
13,11,4,A,11527691
13,11,5,A,12395704
13,11,6,A,13562619
13,11,7,A,14781810
13,11,8,A,15621377
13,11,9,A,16719522
13,11,10,A,17240957
13,11,11,A,16919549
13,11,12,A,18634017
13,11,13,A,17769467
13,12,1,A,10158320
13,12,2,A,10360319
13,12,3,A,10847130
13,12,4,A,11417322
13,12,5,A,12126435
13,12,6,A,13117642
13,12,7,A,14183773
13,12,8,A,14909703
13,12,9,A,16152867
13,12,10,A,16646803
13,12,11,A,17532503
13,12,12,A,18098610
13,12,13,A,19778018
13,13,1,A,11834459
13,13,2,A,12040546
13,13,3,A,12518244
13,13,4,A,13110448
13,13,5,A,13760413
13,13,6,A,14867990
13,13,7,A,15759938
13,13,8,A,16496072
13,13,9,A,17447585
13,13,10,A,17789709
13,13,11,A,18878751
13,13,12,A,19068725
13,13,13,A,19282579
14,1,1,A,367861
14,1,2,A,785215
14,1,3,A,1725244
14,1,4,A,2197286
14,1,5,A,3991585
14,1,6,A,4510062
14,1,7,A,5495725
14,1,8,A,6772524
14,1,9,A,7824311
14,1,10,A,9139127
14,1,11,A,10717692
14,1,12,A,12042248
14,1,13,A,12975327
14,1,14,A,15549050
14,2,1,A,975819
14,2,2,A,1413658
14,2,3,A,2341005
14,2,4,A,2724345
14,2,5,A,4542529
14,2,6,A,5008700
14,2,7,A,5964616
14,2,8,A,7241003
14,2,9,A,8284817
14,2,10,A,9598950
14,2,11,A,11175569
14,2,12,A,12475593
14,2,13,A,13407659
14,2,14,A,15993357
14,3,1,A,1982675
14,3,2,A,2352578
14,3,3,A,3169635
14,3,4,A,3728811
14,3,5,A,5645374
14,3,6,A,5954285
14,3,7,A,6771643
14,3,8,A,8046510
14,3,9,A,9019190
14,3,10,A,10336692
14,3,11,A,11910462
14,3,12,A,13152671
14,3,13,A,14089134
14,3,14,A,16737998
14,4,1,A,3007787
14,4,2,A,3374977
14,4,3,A,4074386
14,4,4,A,4882499
14,4,5,A,6357179
14,4,6,A,7071011
14,4,7,A,7782233
14,4,8,A,9034351
14,4,9,A,9946705
14,4,10,A,11269464
14,4,11,A,12839745
14,4,12,A,14028253
14,4,13,A,14954248
14,4,14,A,17617316
14,5,1,A,4279607
14,5,2,A,4640496
14,5,3,A,5314714
14,5,4,A,6112668
14,5,5,A,7388357
14,5,6,A,8442588
14,5,7,A,9070433
14,5,8,A,10302517
14,5,9,A,11162062
14,5,10,A,12481007
14,5,11,A,14047187
14,5,12,A,15166224
14,5,13,A,16072391
14,5,14,A,18783165
14,6,1,A,5643564
14,6,2,A,6013382
14,6,3,A,6766156
14,6,4,A,7506136
14,6,5,A,9285051
14,6,6,A,9599506
14,6,7,A,10064347
14,6,8,A,11289230
14,6,9,A,12045642
14,6,10,A,13327504
14,6,11,A,14882548
14,6,12,A,15831459
14,6,13,A,16760420
14,6,14,A,19552705
14,7,1,A,6540900
14,7,2,A,6899500
14,7,3,A,7568761
14,7,4,A,8361779
14,7,5,A,9623089
14,7,6,A,10674799
14,7,7,A,11406512
14,7,8,A,12603473
14,7,9,A,13335731
14,7,10,A,14609984
14,7,11,A,16150147
14,7,12,A,16971330
14,7,13,A,17905781
14,7,14,A,20836884
14,8,1,A,8024433
14,8,2,A,8384678
14,8,3,A,9055003
14,8,4,A,9846125
14,8,5,A,11107836
14,8,6,A,12143645
14,8,7,A,12770994
14,8,8,A,13959317
14,8,9,A,14628512
14,8,10,A,15873962
14,8,11,A,17404694
14,8,12,A,18202627
14,8,13,A,19093494
14,8,14,A,21954005
14,9,1,A,9700812
14,9,2,A,10062825
14,9,3,A,10726990
14,9,4,A,11509758
14,9,5,A,12763821
14,9,6,A,13798068
14,9,7,A,14313825
14,9,8,A,15492563
14,9,9,A,16090784
14,9,10,A,17332839
14,9,11,A,18887683
14,9,12,A,19594864
14,9,13,A,20451778
14,9,14,A,23402077
14,10,1,A,10010716
14,10,2,A,10361221
14,10,3,A,10942253
14,10,4,A,11636973
14,10,5,A,12714357
14,10,6,A,13819513
14,10,7,A,15079897
14,10,8,A,16252712
14,10,9,A,17271234
14,10,10,A,18487145
14,10,11,A,20031165
14,10,12,A,20728085
14,10,13,A,21518114
14,10,14,A,24640158
14,11,1,A,10700171
14,11,2,A,11027293
14,11,3,A,11569576
14,11,4,A,12267321
14,11,5,A,13245718
14,11,6,A,14148529
14,11,7,A,15540943
14,11,8,A,16721013
14,11,9,A,17988494
14,11,10,A,19173110
14,11,11,A,20695762
14,11,12,A,21573925
14,11,13,A,22261071
14,11,14,A,24826675
14,12,1,A,12816428
14,12,2,A,13140488
14,12,3,A,13667887
14,12,4,A,14354361
14,12,5,A,15311955
14,12,6,A,16205120
14,12,7,A,17588059
14,12,8,A,18681849
14,12,9,A,19980483
14,12,10,A,21109175
14,12,11,A,22601227
14,12,12,A,23344873
14,12,13,A,23864692
14,12,14,A,27497306
14,13,1,A,13429952
14,13,2,A,13751770
14,13,3,A,14279947
14,13,4,A,14963704
14,13,5,A,15924008
14,13,6,A,16806441
14,13,7,A,18196974
14,13,8,A,19163822
14,13,9,A,20571108
14,13,10,A,21634940
14,13,11,A,23117942
14,13,12,A,23763544
14,13,13,A,23978591
14,13,14,A,27930882
14,14,1,A,15861295
14,14,2,A,16206862
14,14,3,A,16766009
14,14,4,A,17439543
14,14,5,A,18479945
14,14,6,A,19571130
14,14,7,A,20805092
14,14,8,A,21820723
14,14,9,A,22612541
14,14,10,A,24138285
14,14,11,A,25407876
14,14,12,A,25172875
14,14,13,A,26550917
14,14,14,A,29381243
15,1,1,A,431096
15,1,2,A,1173825
15,1,3,A,2403517
15,1,4,A,3582642
15,1,5,A,4821387
15,1,6,A,6983412
15,1,7,A,9009639
15,1,8,A,10386092
15,1,9,A,12829684
15,1,10,A,12371834
15,1,11,A,14221257
15,1,12,A,16974515
15,1,13,A,17514451
15,1,14,A,19469343
15,1,15,A,20536920
15,2,1,A,898962
15,2,2,A,1671210
15,2,3,A,2888945
15,2,4,A,4048779
15,2,5,A,5246777
15,2,6,A,7407598
15,2,7,A,9410263
15,2,8,A,10782547
15,2,9,A,13230895
15,2,10,A,12763384
15,2,11,A,14611300
15,2,12,A,17362395
15,2,13,A,17895784
15,2,14,A,19851321
15,2,15,A,20885120
15,3,1,A,2223791
15,3,2,A,2995314
15,3,3,A,4181476
15,3,4,A,5344683
15,3,5,A,6517927
15,3,6,A,8676887
15,3,7,A,10647170
15,3,8,A,11905736
15,3,9,A,14466691
15,3,10,A,13855086
15,3,11,A,15701392
15,3,12,A,18445829
15,3,13,A,18983805
15,3,14,A,20926940
15,3,15,A,21843674
15,4,1,A,3055958
15,4,2,A,3747489
15,4,3,A,4860822
15,4,4,A,5828109
15,4,5,A,7317657
15,4,6,A,9037123
15,4,7,A,11522233
15,4,8,A,12942854
15,4,9,A,14761757
15,4,10,A,14847066
15,4,11,A,16686395
15,4,12,A,19404204
15,4,13,A,19944242
15,4,14,A,21870596
15,4,15,A,22703004
15,5,1,A,5090208
15,5,2,A,5805489
15,5,3,A,7026245
15,5,4,A,8073312
15,5,5,A,9490724
15,5,6,A,11630474
15,5,7,A,13457129
15,5,8,A,14399534
15,5,9,A,17271977
15,5,10,A,16109600
