size,shuffles,instructionCount
2,1,3753
2,2,4608
2,3,6095
2,4,6950
2,5,8437
2,6,9292
2,7,8516
2,8,8145
2,9,7136
2,10,6765
2,11,5756
2,12,5130
2,13,6639
2,14,7494
2,15,8981
2,16,9836
2,17,11323
2,18,12178
2,19,11402
2,20,11031
2,21,10022
2,22,9651
2,23,8642
2,24,8016
2,25,9525
2,26,10380
2,27,11867
2,28,12722
2,29,14209
2,30,15064
2,31,14288
2,32,13917
2,33,12908
2,34,12537
2,35,11528
2,36,10902
2,37,12411
2,38,13266
2,39,14753
2,40,15608
2,41,17095
2,42,17950
2,43,17174
2,44,16803
2,45,15794
2,46,15423
2,47,14414
2,48,13788
2,49,15297
2,50,16152
2,51,17639
2,52,18494
2,53,19981
2,54,20836
2,55,20060
2,56,19689
2,57,18680
2,58,18309
2,59,17300
2,60,16674
2,61,18183
2,62,19038
2,63,20525
2,64,21380
2,65,22867
2,66,23722
2,67,22946
2,68,22575
2,69,21566
2,70,21195
2,71,20186
2,72,19560
2,73,21069
2,74,21924
2,75,23411
2,76,24266
2,77,25753
2,78,26608
2,79,25832
2,80,25461
2,81,24452
2,82,24081
2,83,23072
2,84,22446
2,85,23955
2,86,24810
2,87,26297
2,88,27152
2,89,28639
2,90,29494
2,91,28718
2,92,28347
2,93,27338
2,94,26967
2,95,25958
2,96,25332
2,97,26841
2,98,27696
2,99,29183
2,100,30038
2,101,31525
2,102,32380
2,103,31604
2,104,31233
2,105,30224
2,106,29853
2,107,28844
2,108,28218
2,109,29727
2,110,30582
2,111,32069
2,112,32924
2,113,34411
2,114,35266
2,115,34490
2,116,34119
2,117,33110
2,118,32739
2,119,31730
2,120,31104
2,121,32613
2,122,33468
2,123,34955
2,124,35810
2,125,37297
2,126,38152
2,127,37376
2,128,37005
2,129,35996
2,130,35625
2,131,34616
2,132,33990
2,133,35499
2,134,36354
2,135,37841
2,136,38696
2,137,40183
2,138,41038
2,139,40262
2,140,39891
2,141,38882
2,142,38511
2,143,37502
2,144,36876
2,145,38385
2,146,39240
2,147,40727
2,148,41582
2,149,43069
2,150,43924
2,151,43148
2,152,42777
2,153,41768
2,154,41397
2,155,40388
2,156,39762
2,157,41271
2,158,42126
2,159,43613
2,160,44468
2,161,45955
2,162,46810
2,163,46034
2,164,45663
2,165,44654
2,166,44283
2,167,43274
2,168,42648
2,169,44157
2,170,45012
2,171,46499
2,172,47354
2,173,48841
2,174,49696
2,175,48920
2,176,48549
2,177,47540
2,178,47169
2,179,46160
2,180,45534
2,181,47043
2,182,47898
2,183,49385
2,184,50240
2,185,51727
2,186,52582
2,187,51806
2,188,51435
2,189,50426
2,190,50055
2,191,49046
2,192,48420
2,193,49929
2,194,50784
2,195,52271
2,196,53126
2,197,54613
2,198,55468
2,199,54692
2,200,54321
2,201,53312
2,202,52941
2,203,51932
2,204,51306
2,205,52815
2,206,53670
2,207,55157
2,208,56012
2,209,57499
2,210,58354
2,211,57578
2,212,57207
2,213,56198
2,214,55827
2,215,54818
2,216,54192
2,217,55701
2,218,56556
2,219,58043
2,220,58898
2,221,60385
2,222,61240
2,223,60464
2,224,60093
2,225,59084
2,226,58713
2,227,57704
2,228,57078
2,229,58587
2,230,59442
2,231,60929
2,232,61784
2,233,63271
2,234,64126
2,235,63350
2,236,62979
2,237,61970
2,238,61599
2,239,60590
2,240,59964
2,241,61473
2,242,62328
2,243,63815
2,244,64670
2,245,66157
2,246,67012
2,247,66236
2,248,65865
2,249,64856
2,250,64485
3,1,6854
3,2,8524
3,3,9410
3,4,11577
3,5,12452
3,6,18879
3,7,21797
3,8,22652
3,9,25570
3,10,27196
3,11,21809
3,12,22664
3,13,25582
3,14,26477
3,15,32884
3,16,34975
3,17,128299
3,18,153069
3,19,191067
3,20,397275
3,21,509854
3,22,510709
3,23,1509995
3,24,1510890
3,25,564751
3,26,687091
3,27,1743519
3,28,3628576
3,29,3045549
3,30,3045158
3,31,978910
3,32,978519
3,33,822943
3,34,822552
3,35,274161
3,36,272534
3,37,182378
3,38,107001
3,39,105394
3,40,107485
3,41,422285
3,42,553379
3,43,554254
3,44,648427
3,45,2436840
3,46,3273058
3,47,2937600
3,48,3560633
3,49,1802935
3,50,2365864
3,51,6007300
3,52,6008807
3,53,11947587
3,54,11948876
3,55,5521217
3,56,4205930
3,57,2953778
3,58,2953376
3,59,2955498
3,60,4294552
3,61,4290659
3,62,2370843
3,63,1924446
3,64,1925301
3,65,4925790
3,66,7945380
3,67,7946255
3,68,9246593
3,69,4989683
3,70,4988640
3,71,1246414
3,72,1248505
3,73,6227443
3,74,6229574
3,75,14590773
3,76,10478325
3,77,4235569
3,78,3016455
3,79,3014848
3,80,1414450
3,81,1412803
3,82,1780358
3,83,1781233
3,84,2126859
3,85,634075
3,86,356397
3,87,355986
3,88,576658
3,89,577533
3,90,1702360
3,91,1701949
3,92,3177205
3,93,3178080
3,94,3886096
3,95,3705806
3,96,720533
3,97,718926
3,98,719781
3,99,953968
3,100,1659441
3,101,1657834
3,102,1362342
3,103,1131471
3,104,1851869
3,105,2624751
3,106,6311774
3,107,6313885
3,108,8338993
3,109,8337386
3,110,4725487
3,111,1874904
3,112,1873277
3,113,1875388
3,114,1338570
3,115,1338199
3,116,1340290
3,117,2449549
3,118,2447922
3,119,750705
3,120,750314
3,121,572008
3,122,574139
3,123,529138
3,124,531229
3,125,2678552
3,126,2679447
3,127,4498282
3,128,4499137
3,129,14383810
3,130,8129487
3,131,8129249
3,132,5114172
3,133,5116283
3,134,4446621
3,135,4445014
3,136,1221304
3,137,1219657
3,138,1684167
3,139,1685042
3,140,2454250
3,141,1451365
3,142,572224
3,143,398274
3,144,781351
3,145,1803972
3,146,1806063
3,147,11194038
3,148,11184951
3,149,6424602
3,150,6424795
3,151,3449235
3,152,3448844
3,153,6186256
3,154,6186978
3,155,9282264
3,156,16192267
3,157,16187789
3,158,4957074
3,159,11337502
3,160,11340344
3,161,5502347
3,162,3435042
3,163,7194839
3,164,7199767
3,165,14562295
3,166,3843735
3,167,3842128
3,168,2380588
3,169,1453874
3,170,1212377
3,171,2148121
3,172,1477480
3,173,703280
3,174,570353
3,175,1145027
3,176,1386438
3,177,2544269
3,178,2542642
3,179,823152
3,180,589456
3,181,315997
3,182,457702
3,183,467677
3,184,468532
3,185,1039688
3,186,1040583
3,187,1260479
3,188,1757626
3,189,1289830
3,190,5627010
3,191,2121539
3,192,2123630
3,193,8076730
3,194,7414715
3,195,7413108
3,196,5189855
3,197,2676929
3,198,1075243
3,199,1043020
3,200,1042629
3,201,641437
3,202,641046
3,203,611241
3,204,1255620
3,205,1492682
3,206,5497315
3,207,5498190
3,208,8994949
3,209,8997060
3,210,12201056
3,211,12310064
3,212,12299238
3,213,21392475
3,214,21390264
3,215,11302733
3,216,18140879
3,217,18142338
3,218,23120605
3,219,29363751
3,220,5773964
3,221,4332057
3,222,4331666
3,223,1746817
3,224,1746426
3,225,1748537
3,226,3669771
3,227,5719404
3,228,11670003
3,229,8347171
3,230,6603053
3,231,4948616
3,232,3091970
3,233,4346727
3,234,10166826
3,235,17413830
3,236,17416505
3,237,14358146
3,238,14357171
3,239,7050155
3,240,8737919
3,241,6572752
3,242,12945839
3,243,10682490
3,244,10684803
3,245,3835646
3,246,4732146
3,247,4728286
3,248,10169749
3,249,10184095
3,250,16485420
4,1,11076
4,2,13288
4,3,15456
4,4,19868
4,5,20756
4,6,25124
4,7,26041
4,8,30409
4,9,31306
4,10,33243
4,11,37611
4,12,39735
4,13,46831
4,14,49916
4,15,63511
4,16,68642
4,17,69517
4,18,90470
4,19,91365
4,20,332053
4,21,887532
4,22,907162
4,23,908017
4,24,1458352
4,25,1769038
4,26,1985673
4,27,1986548
4,28,6752472
4,29,6755555
4,30,7749557
4,31,13950995
4,32,10184457
4,33,22468834
4,34,22931707
4,35,21530138
4,36,13054018
4,37,13057081
4,38,44665575
4,39,44667235
4,40,59231486
4,41,55194866
4,42,40692691
4,43,10106631
4,44,10104052
4,45,3604788
4,46,3602209
4,47,2203707
4,48,4915240
4,49,4918323
4,50,22098034
4,51,39579351
4,52,39578960
4,53,32196113
4,54,32197008
4,55,50456463
4,56,100332926
4,57,26426105
4,58,11304222
4,59,18376246
4,60,20011843
4,61,20887114
4,62,60026297
4,63,69798973
4,64,41911495
4,65,18842283
4,66,12392427
4,67,12392056
4,68,13016518
4,69,39506802
4,70,39507677
4,71,15097705
4,72,15095126
4,73,14842035
4,74,14841644
4,75,12423801
4,76,5314819
4,77,5314428
4,78,15763880
4,79,20177114
4,80,20177989
4,81,20633612
4,82,34828382
4,83,99457118
4,84,165654481
4,85,74307207
4,86,44113371
4,87,44112960
4,88,32554322
4,89,32555217
4,90,155417529
4,91,155417344
4,92,338053260
4,93,338057845
4,94,475897987
4,95,962905864
4,96,962910851
4,97,1689922583
4,98,1689963454
4,99,183365677
4,100,297255570
4,101,232310134
4,102,368756529
4,103,331672093
4,104,148761307
4,105,196142791
4,106,196144726
4,107,225177394
4,108,797150193
4,109,717622330
4,110,643156611
4,111,232031387
4,112,57789087
4,113,261287066
4,114,261289021
4,115,295398787
4,116,888162744
4,117,252197305
4,118,223497130
4,119,223495679
4,120,223497937
4,121,708698621
4,122,708688906
4,123,1042264466
4,124,1042267481
4,125,2455113981
4,126,2525379438
4,127,14095820290
4,128,14096248006
4,129,60308711852
4,130,60308499257
4,131,61117994370
4,132,17545156496
4,133,31277178611
4,134,49049806715
4,135,59117825921
4,136,20782773381
4,137,20782832849
4,138,4157899373
4,139,4157897137
4,140,2944043939
4,141,2944042488
4,142,3518608365
4,143,3518610280
4,144,1288406994
4,145,1288404415
4,146,2447322167
4,147,2447321962
4,148,20783001689
4,149,27727865685
4,150,27727787150
4,151,20094792712
4,152,20094794608
